Recipe,Link,Time (min),Ingredient,Calories (kcal),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrate (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV)
Red Pepper Falafel,https://www.bonappetit.com/recipe/red-pepper-falafel,0,1 tablespoon ground cumin,56.25,3.3405,0.23024999999999998,,0.0,25.2,6.636,1.575,0.33749999999999997,2.6714999999999995,190.5,1.155,139.65,9.953999999999999
Red Pepper Falafel,https://www.bonappetit.com/recipe/red-pepper-falafel,0,2½ teaspoons kosher salt,0.0,0.0,0.0,0.0,0.0,4844.75,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.04125
Red Pepper Falafel,https://www.bonappetit.com/recipe/red-pepper-falafel,0,2 teaspoons ground coriander,13.4,0.403,0.10220000000000001,,6.9,5.6000000000000005,0.0,0.0,0.0,2.277,0.0,0.0,0.7000000000000001,0.40199999999999997
Red Pepper Falafel,https://www.bonappetit.com/recipe/red-pepper-falafel,0,1 teaspoon smoked paprika,14.100000000000001,0.6445000000000001,0.10700000000000001,0.0,0.0,3.4000000000000004,2.6995000000000005,1.745,0.517,0.7070000000000001,2462.7000000000003,0.045000000000000005,11.450000000000001,1.0570000000000002
Red Pepper Falafel,https://www.bonappetit.com/recipe/red-pepper-falafel,0,1 teaspoon Hungarian sweet paprika,14.100000000000001,0.6445000000000001,0.10700000000000001,0.0,0.0,3.4000000000000004,2.6995000000000005,1.745,0.517,0.7070000000000001,2462.7000000000003,0.045000000000000005,11.450000000000001,1.0570000000000002
Red Pepper Falafel,https://www.bonappetit.com/recipe/red-pepper-falafel,0,1 teaspoon baking powder,4.8500000000000005,0.020000000000000004,0.00365,,0.0,4.5,2.345,0.11000000000000001,0.0,0.005000000000000001,0.0,0.0,216.60000000000002,0.40850000000000003
Red Pepper Falafel,https://www.bonappetit.com/recipe/red-pepper-falafel,0,Vegetable oil (for frying; about 8 cups),129.29999999999998,15.0,12.225,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Pepper Falafel,https://www.bonappetit.com/recipe/red-pepper-falafel,0,Shredded Cabbage Salad with Pomegranate and Tomatoes,45.0,0.275,0.0375,0.0,0.0,617.5,10.024999999999999,1.75,6.2250000000000005,2.375,1222.5,57.0,27.5,1.7000000000000002
Red Pepper Falafel,https://www.bonappetit.com/recipe/red-pepper-falafel,0,Spiced Green Tahini Sauce,56.00000000000001,0.0,0.0,,0.0,1400.0000000000002,14.000000000000002,,14.000000000000002,0.0,,,,
Red Pepper Falafel,https://www.bonappetit.com/recipe/red-pepper-falafel,0,Warm thick pita with pockets (for serving),27.5,0.5,0.04,0.0,0.0,857.5,6.125,2.5,2.9499999999999997,1.0,0.0,26.25,45.0,0.95
Red Pepper Falafel,https://www.bonappetit.com/recipe/red-pepper-falafel,0,A deep-fry thermometer,,,,,,,,,,,,,,
Red Pepper–Walnut Relish,https://www.bonappetit.com/recipe/red-pepper-walnut-relish,0,¼ cup walnuts,312.5,22.31875,2.231875,0.0,0.0,278.75,29.743750000000002,2.25,20.0875,5.175,0.0,0.0,44.375,0.80625
Red Pepper–Walnut Relish,https://www.bonappetit.com/recipe/red-pepper-walnut-relish,0,2 red bell peppers (about 1 lb.),155.0,1.5,0.135,0.0,0.0,20.0,30.150000000000002,10.5,21.0,4.95,15655.0,638.5,35.0,2.15
Red Pepper–Walnut Relish,https://www.bonappetit.com/recipe/red-pepper-walnut-relish,0,"1 clove garlic, grated",372.5,1.25,0.22249999999999998,0.0,0.0,42.5,82.65,5.25,2.5,15.9,22.5,78.0,452.5,4.25
